afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60007870,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,6,2,0,6,esp,yes
60007903,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,5,8,6,14,3,14,3,isr,yes
60007971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dnk,no
60008041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,dnk,yes
60008043,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,swe,yes
60008103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,6,aut,yes
60008141,0,0,0,0,0,0,0,0,2,3,0,1,2,3,0,1,8,0,1,18,3,15,swe,yes
60008201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,4,0,7,3,che,yes
60008222,1,0,0,0,1,0,0,2,0,1,0,4,0,7,1,0,0,2,11,4,16,13,aut,yes
60008253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60008358,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,7,1,1,4,2,svn,yes
60008408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,hrv,yes
60008539,0,0,1,0,0,2,1,0,1,0,2,0,0,1,1,0,0,11,7,0,5,10,irl,yes
60008555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pol,no
60008613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,hun,yes
60008643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,irl,yes
60008760,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,10,10,6,5,3,17,fin,yes
60008841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,swe,yes
60008870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,isr,yes
60008948,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,9,0,0,0,0,4,esp,yes
60008991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,tur,yes
60009024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tur,no
60009071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,8,3,0,ita,yes
60009078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grc,no
60009196,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,esp,yes
60009282,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,svk,yes
60009305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,14,5,6,esp,yes
60009358,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,1,0,4,5,22,7,7,swe,yes
60009410,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,0,3,1,0,0,0,0,esp,yes
60009424,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,11,1,4,cze,yes
60009425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,10,0,tur,yes
60009455,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,3,5,0,7,0,0,0,esp,yes
60009466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,esp,yes
60009474,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,esp,yes
60009477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tur,no
60009483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,fin,yes
60009513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60009565,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,6,fin,yes
60009622,0,0,0,0,0,0,0,0,2,0,0,4,7,3,4,0,0,6,0,3,14,4,ita,yes
60009669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp,no
60009780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,esp,yes
60009951,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,2,2,1,0,3,4,swe,yes
60009952,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,7,3,esp,yes
60009963,0,0,0,0,5,1,2,0,2,0,0,0,0,0,4,4,7,2,0,6,2,11,che,yes
60009968,0,0,0,0,0,0,2,0,3,0,4,0,0,0,5,4,3,6,3,14,11,0,che,yes
60009999,0,0,0,0,2,0,0,3,1,3,1,4,0,5,0,8,13,8,3,14,20,1,aut,yes
60010062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,24,12,6,10,ita,yes
60010104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,tur,yes
60010110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,ita,yes
60010146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,ita,yes
60010164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60010184,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,4,0,0,0,esp,yes
60010209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,ita,yes
60010348,1,0,0,2,1,0,0,1,0,1,1,1,8,4,6,7,2,7,9,17,29,34,nor,yes
60010410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,irl,no
60010413,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,2,2,0,bel,yes
60010612,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,2,8,0,14,0,cze,yes
60010678,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,6,0,pol,yes
60010758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bel,no
60010769,0,0,0,0,0,0,1,0,0,0,0,0,2,11,6,6,1,1,0,3,10,12,esp,yes
60010811,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,12,0,2,tur,yes
60010814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,esp,yes
60010844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp,no
60010987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,che,yes
60011100,0,0,0,0,0,0,0,0,0,0,0,1,0,5,13,2,7,41,12,9,31,21,esp,yes
60011112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fin,no
60011149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,0,10,1,8,11,irl,yes
60011155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,esp,yes
60011170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,7,5,4,21,fin,yes
60011202,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,esp,yes
60011274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,6,6,4,0,0,che,yes
60011303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grc,no
60011373,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,5,4,8,3,dnk,yes
60011394,0,0,0,0,0,0,0,0,0,3,6,2,8,1,20,0,0,5,17,6,33,25,aut,yes
60011427,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,tur,yes
60011476,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,0,0,esp,yes
60011512,0,0,0,0,0,0,0,0,14,0,0,0,10,0,0,0,5,0,0,0,0,0,tur,yes
60011551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fin,no
60011556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hun,no
60011576,0,0,0,0,0,0,0,2,3,0,2,7,3,3,4,3,3,5,24,12,11,9,ita,yes
60011672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60011673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hrv,no
60011766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,13,0,0,6,21,isr,yes
60011805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,esp,yes
60011857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60011909,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,grc,yes
60011916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nor,no
60011918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,ita,yes
60011931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp,no
60012003,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,fin,yes
60012061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pol,no
60012162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,ita,yes
