afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60006757,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,15,0,11,0,3,gbr,yes
60006901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,gbr,yes
60007118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,fra,yes
60007173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr,no
60007247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,4,6,gbr,yes
60007257,0,0,0,6,3,1,2,8,15,14,8,20,12,22,18,18,3,21,27,22,21,13,deu,yes
60007419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr,no
60007470,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu,yes
60007493,0,0,0,0,0,0,0,0,0,0,2,4,0,4,2,12,11,1,4,13,24,16,deu,yes
60007548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,fra,yes
60007573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,3,10,gbr,yes
60007616,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,14,0,0,0,0,0,3,deu,yes
60007746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu,no
60007762,0,0,0,0,0,0,0,2,14,0,0,5,0,8,8,16,16,39,13,23,15,26,deu,yes
60007774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,10,2,deu,yes
60007798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,deu,yes
60007816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60007881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60007895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,16,12,nld,yes
60007896,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,11,9,0,7,deu,yes
60007902,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,19,8,6,3,7,0,deu,yes
60007904,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,2,0,26,0,0,0,4,gbr,yes
60007943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu,no
60007989,9,0,0,1,1,3,5,7,4,6,3,9,17,6,17,11,22,21,14,17,15,8,nld,yes
60008042,0,0,0,0,0,0,0,0,9,4,2,4,0,0,16,15,1,9,19,2,2,3,deu,yes
60008134,0,4,10,1,4,1,5,14,7,10,11,34,25,31,72,70,54,97,82,93,80,80,fra,yes
60008155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,deu,yes
60008248,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,deu,yes
60008250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr,no
60008293,1,2,4,1,0,0,2,0,6,4,3,0,2,3,0,8,0,1,0,1,0,5,deu,yes
60008323,0,0,0,0,0,0,0,0,9,0,0,0,0,11,10,0,0,0,0,0,3,0,gbr,yes
60008380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,deu,yes
60008447,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,4,0,0,fra,yes
60008477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60008583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu,no
