afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60004686,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,2,0,0,0,0,0,0,usa,yes
60004745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60004760,0,0,0,0,0,0,5,3,0,0,2,0,6,9,0,0,0,3,1,3,8,4,usa,yes
60004772,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,can,yes
60004791,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,2,1,0,0,can,yes
60004803,0,0,0,0,1,3,5,0,9,0,3,4,6,4,4,4,6,0,6,2,0,0,usa,yes
60004862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60004876,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,1,0,0,0,0,2,usa,yes
60004923,2,0,0,2,0,1,5,2,10,8,4,4,7,4,22,10,11,8,15,10,20,12,usa,yes
60004942,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,usa,yes
60004982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can,no
60005007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,2,0,usa,yes
60005019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005081,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,can,yes
60005085,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,usa,yes
60005099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,usa,yes
60005200,0,2,1,2,0,0,0,12,16,15,5,18,13,13,23,23,24,46,71,39,20,76,usa,yes
60005208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,6,6,0,usa,yes
60005246,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,usa,yes
60005247,0,0,0,4,2,4,0,7,1,1,7,4,3,18,10,21,8,29,23,16,40,77,usa,yes
60005248,1,9,0,2,3,2,0,6,3,3,12,13,21,15,14,15,34,19,34,52,29,33,usa,yes
60005280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,3,3,8,usa,yes
60005281,0,0,0,0,0,4,0,1,0,8,0,0,2,4,11,2,4,3,10,9,0,10,usa,yes
60005286,0,0,0,0,0,0,1,0,3,4,0,3,2,5,1,24,0,3,0,4,8,6,usa,yes
60005290,0,0,0,0,0,0,0,0,1,4,0,1,3,3,1,0,2,1,2,0,1,0,usa,yes
60005292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can,no
60005437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,usa,yes
60005455,6,0,0,0,19,1,10,3,15,21,3,8,1,9,6,5,24,8,34,43,35,26,usa,yes
60005461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005469,0,0,0,0,0,0,0,0,0,3,3,0,6,0,6,5,0,0,8,10,1,9,usa,yes
60005521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005532,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,2,usa,yes
60005558,0,0,0,0,0,0,0,0,0,0,0,0,4,10,9,7,22,21,17,33,35,38,usa,yes
60005565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,3,0,usa,yes
60005579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005583,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,usa,yes
60005610,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,5,3,1,10,13,0,6,can,yes
60005617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005708,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,9,0,0,0,5,0,0,usa,yes
60005723,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,2,0,7,20,7,7,usa,yes
60005745,0,0,0,0,5,0,0,0,0,3,3,3,2,1,1,0,0,6,0,18,11,4,usa,yes
60005756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005775,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,usa,yes
60005837,0,0,5,0,0,3,6,0,1,7,1,0,0,6,0,5,5,21,17,1,21,6,usa,yes
60005845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,can,yes
60005853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60005856,0,0,1,0,0,0,0,1,0,4,8,0,4,4,2,0,0,7,6,1,0,5,usa,yes
60005860,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,4,1,0,5,0,usa,yes
60006020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60006022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60006024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60006156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60006173,0,2,0,2,0,1,3,1,4,4,8,0,6,2,12,0,10,3,0,1,2,8,usa,yes
60006183,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,15,0,0,1,7,3,2,usa,yes
60006198,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,2,3,0,usa,yes
60006201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60006203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60006221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,2,usa,yes
60006281,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,usa,yes
60006297,19,9,8,0,3,10,3,15,24,21,6,3,27,25,15,41,19,39,46,32,76,59,usa,yes
60006320,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,5,5,0,0,0,usa,yes
60006322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,usa,yes
60006328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60006371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60006385,0,2,2,1,6,0,0,0,0,1,7,3,8,4,0,2,1,13,10,14,28,37,usa,yes
60006404,1,1,0,0,0,0,0,0,0,0,0,11,22,0,3,2,0,5,2,9,2,1,usa,yes
60006407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60006455,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,4,0,0,0,0,3,usa,yes
60006475,1,0,0,0,1,1,2,0,9,0,5,10,6,5,11,15,15,18,14,29,17,11,usa,yes
60006476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60006511,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,7,3,0,12,5,usa,yes
60006514,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,4,0,usa,yes
60006549,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,usa,yes
60006558,0,0,0,0,0,0,0,0,4,2,3,0,4,4,6,6,10,15,0,0,4,3,can,yes
60006577,0,0,6,2,1,1,1,9,4,3,3,5,8,0,17,33,10,1,5,3,0,12,usa,yes
60006594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,usa,yes
60006725,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,9,0,2,11,3,18,usa,yes
60006762,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,5,3,usa,yes
