per,toa,toa.1,id,country,inst_size,inst_mob_size,mob_share,per.1,toa.2,ego_country,pub_no,ego_net_size_no,collab_country_no,toa_old,id.1,lagged_expo,adopted,lagged_int_expo,lagged_reg_expo,lagged_nat_expo,id.2
1996,2015,2015,113169130,usa,3,3,1,1996,2015,NA,NA,NA,NA,NA,113169130,NA,0,NA,NA,NA,113169130
1996,2017,2017,113196638,usa,15,10,0.667,1996,2017,NA,NA,NA,NA,NA,113196638,NA,0,NA,NA,NA,113196638
1996,2013,2013,113221788,usa,6,2,0.333,1996,2013,NA,NA,NA,NA,NA,113221788,NA,0,NA,NA,NA,113221788
1996,2014,2014,113513583,usa,8,4,0.5,1996,2014,NA,NA,NA,NA,NA,113513583,NA,0,NA,NA,NA,113513583
1996,2015,2015,113697868,can,2,1,0.5,1996,2015,NA,NA,NA,NA,NA,113697868,NA,0,NA,NA,NA,113697868
1996,2014,2014,113766309,usa,5,5,1,1996,2014,NA,NA,NA,NA,NA,113766309,NA,0,NA,NA,NA,113766309
1996,2014,2014,113845844,usa,19,16,0.842,1996,2014,NA,NA,NA,NA,NA,113845844,NA,0,NA,NA,NA,113845844
1996,2015,2015,113848818,usa,1,0,0,1996,2015,NA,NA,NA,NA,NA,113848818,NA,0,NA,NA,NA,113848818
1996,2017,2017,114153073,usa,17,0,0,1996,2017,NA,NA,NA,NA,NA,114153073,NA,0,NA,NA,NA,114153073
1996,2016,2016,114311104,usa,3,0,0,1996,2016,NA,NA,NA,NA,NA,114311104,NA,0,NA,NA,NA,114311104
1996,2015,2015,114327552,usa,5,5,1,1996,2015,NA,NA,NA,NA,NA,114327552,NA,0,NA,NA,NA,114327552
1996,2017,2017,114414732,usa,1,1,1,1996,2017,NA,NA,NA,NA,NA,114414732,NA,0,NA,NA,NA,114414732
1996,2017,2017,114508386,usa,2,0,0,1996,2017,NA,NA,NA,NA,NA,114508386,NA,0,NA,NA,NA,114508386
1996,2016,2016,114956050,usa,5,5,1,1996,2016,NA,NA,NA,NA,NA,114956050,NA,0,NA,NA,NA,114956050
1996,2017,2017,115063927,usa,4,1,0.25,1996,2017,NA,NA,NA,NA,NA,115063927,NA,0,NA,NA,NA,115063927
1996,2017,2017,115386847,usa,11,4,0.364,1996,2017,NA,NA,NA,NA,NA,115386847,NA,0,NA,NA,NA,115386847
1996,2017,2017,115792013,usa,7,1,0.143,1996,2017,NA,NA,NA,NA,NA,115792013,NA,0,NA,NA,NA,115792013
1996,2015,2015,115888374,usa,2,0,0,1996,2015,NA,NA,NA,NA,NA,115888374,NA,0,NA,NA,NA,115888374
1996,2016,2016,116006719,usa,1,0,0,1996,2016,NA,NA,NA,NA,NA,116006719,NA,0,NA,NA,NA,116006719
1996,2017,2017,116207074,usa,5,1,0.2,1996,2017,NA,NA,NA,NA,NA,116207074,NA,0,NA,NA,NA,116207074
1996,2017,2017,116804158,usa,1,1,1,1996,2017,NA,NA,NA,NA,NA,116804158,NA,0,NA,NA,NA,116804158
1996,2016,2016,117724047,usa,6,0,0,1996,2016,NA,NA,NA,NA,NA,117724047,NA,0,NA,NA,NA,117724047
1996,2017,2017,118346004,usa,2,0,0,1996,2017,NA,NA,NA,NA,NA,118346004,NA,0,NA,NA,NA,118346004
