afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
60007508,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007525,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007592,NA,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.166666667,0,0.5,0,0,0,0,0
60007632,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007643,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
60007663,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007831,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0
60007844,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007870,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.166666667,0,0
60007903,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,0,0.4,0.375,0.166666667,0.071428571,0.333333333,0.285714286
60007971,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60008041,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.666666667,0,0,0
60008043,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60008103,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60008141,NA,0,0,0,0,0,0,0,0,0.5,0.333333333,0,0,0,0,0,1,0,0,1,0.055555556,0
60008201,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0
60008222,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0.142857143,0,0,0,0,0,0.5,0
60008253,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60008358,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.571428571,1,1,0.5
60008408,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60008539,NA,0,0,0,0,0,0,1,0,1,0,0.5,0,0,1,1,0,0,0,0,0,0.2
60008555,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60008613,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
60008643,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
