"","per","toa","toa.1","id","country","inst_size","inst_mob_size","mob_share","per.1","toa.2","ego_country","pub_no","ego_net_size_no","collab_country_no","toa_old","n_refs","zebra_cited_no","zebra_cited_per","id.1","lagged_int_expo","lagged_reg_expo","lagged_nat_expo","adopted","id.2","pub_n"
"77",1996,NA,NA,"112874539","chl",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112874539",NA,NA,NA,0,"112874539",NA
"78",1996,NA,NA,"112956318","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112956318",NA,NA,NA,0,"112956318",NA
"79",1996,NA,NA,"112960814","arg",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112960814",NA,NA,NA,0,"112960814",NA
"80",1996,NA,NA,"112964053","chl",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112964053",NA,NA,NA,0,"112964053",NA
"81",1996,2014,2014,"113018289","bra",4,2,0.5,1996,2014,NA,NA,NA,NA,NA,NA,NA,NA,"113018289",NA,NA,NA,0,"113018289",NA
"82",1996,NA,NA,"113031991","chl",6,2,0.333,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113031991",NA,NA,NA,0,"113031991",NA
"83",1996,NA,NA,"113032046","chl",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113032046",NA,NA,NA,0,"113032046",NA
"84",1996,NA,NA,"113042335","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113042335",NA,NA,NA,0,"113042335",NA
"85",1996,2015,2015,"113057382","bra",7,3,0.429,1996,2015,NA,NA,NA,NA,NA,NA,NA,NA,"113057382",NA,NA,NA,0,"113057382",NA
"86",1996,2014,2014,"113073347","chl",2,2,1,1996,2014,NA,NA,NA,NA,NA,NA,NA,NA,"113073347",NA,NA,NA,0,"113073347",NA
"87",1996,NA,NA,"113094326","per",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113094326",NA,NA,NA,0,"113094326",NA
"88",1996,NA,NA,"113214059","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113214059",NA,NA,NA,0,"113214059",NA
"89",1996,NA,NA,"113221319","arg",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113221319",NA,NA,NA,0,"113221319",NA
"90",1996,NA,NA,"113416246","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113416246",NA,NA,NA,0,"113416246",NA
"91",1996,2014,2014,"113446419","bra",9,4,0.444,1996,2014,NA,NA,NA,NA,NA,NA,NA,NA,"113446419",NA,NA,NA,0,"113446419",NA
"92",1996,NA,NA,"113459313","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113459313",NA,NA,NA,0,"113459313",NA
"93",1996,2015,2015,"113494769","bra",15,4,0.267,1996,2015,NA,NA,NA,NA,NA,NA,NA,NA,"113494769",NA,NA,NA,0,"113494769",NA
"94",1996,2014,2014,"113536478","chl",14,4,0.286,1996,2014,NA,NA,NA,NA,NA,NA,NA,NA,"113536478",NA,NA,NA,0,"113536478",NA
"95",1996,NA,NA,"113538643","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113538643",NA,NA,NA,0,"113538643",NA
"96",1996,NA,NA,"113728836","bra",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113728836",NA,NA,NA,0,"113728836",NA
"97",1996,NA,NA,"113766373","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113766373",NA,NA,NA,0,"113766373",NA
"98",1996,NA,NA,"113801950","bra",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113801950",NA,NA,NA,0,"113801950",NA
"99",1996,NA,NA,"113977903","arg",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113977903",NA,NA,NA,0,"113977903",NA
"100",1996,NA,NA,"114071465","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114071465",NA,NA,NA,0,"114071465",NA
"101",1996,NA,NA,"114100415","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114100415",NA,NA,NA,0,"114100415",NA
"102",1996,NA,NA,"114111167","chl",4,3,0.75,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114111167",NA,NA,NA,0,"114111167",NA
"103",1996,NA,NA,"114275143","arg",5,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114275143",NA,NA,NA,0,"114275143",NA
"104",1996,NA,NA,"114507722","ury",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114507722",NA,NA,NA,0,"114507722",NA
"105",1996,NA,NA,"114508481","bra",3,2,0.667,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114508481",NA,NA,NA,0,"114508481",NA
"106",1996,NA,NA,"114559841","bra",2,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114559841",NA,NA,NA,0,"114559841",NA
