afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,community
60005684,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333,0.333333333,0.7,Asia-Pacific (core)
60005732,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005815,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Asia-Pacific (core)
60005816,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005865,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005884,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,Asia-Pacific (core)
60005935,NA,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0.6,0,0.125,0,0,0,0,Asia-Pacific (core)
60005960,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006019,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,Asia-Pacific (core)
60006082,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006106,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006108,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006154,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006170,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666667,0,Asia-Pacific (core)
60006234,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006240,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.857142857,0,0,Asia-Pacific (core)
60006321,NA,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0.25,0,0.6,0,0.142857143,0.6,0,0.142857143,Asia-Pacific (core)
60006354,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,Asia-Pacific (core)
60006422,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006582,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006588,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006742,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,1,Asia-Pacific (core)
60006834,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006899,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.285714286,0,0,Asia-Pacific (core)
60006925,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,Asia-Pacific (core)
60006927,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006935,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60006988,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007029,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,Asia-Pacific (core)
60007155,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007215,NA,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,Asia-Pacific (core)
60007269,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007324,NA,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.111111111,0,0.142857143,0.117647059,0,0.133333333,0.235294118,0.296296296,Asia-Pacific (core)
60007381,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Asia-Pacific (core)
60007511,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,Asia-Pacific (core)
60007522,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,Asia-Pacific (core)
60007524,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007661,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007711,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,Asia-Pacific (core)
60007807,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007819,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007841,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007862,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007912,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007954,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007963,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60007976,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008014,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.571428571,Asia-Pacific (core)
60008073,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.333333333,0.111111111,0.142857143,0.090909091,0.333333333,0.333333333,0.269230769,Asia-Pacific (core)
