per,toa,toa.1,id,country,inst_size,inst_mob_size,mob_share,per.1,toa.2,ego_country,pub_no,ego_net_size_no,collab_country_no,toa_old,id.1,lagged_expo,adopted,lagged_int_expo,lagged_reg_expo,lagged_nat_expo,id.2
1998,1997,1997,60001117,usa,221,94,0.425,1998,1997,usa,2,3,1,1996,60001117,0.5,1,0,0,0.5,60001117
1998,2001,2001,60001440,usa,14,2,0.143,1998,2001,usa,1,1,1,1998,60001440,0,0,0,0,0,60001440
1998,1998,1998,60002173,can,45,26,0.578,1998,1998,can,1,3,3,1997,60002173,0,1,0,0,0,60002173
1998,1998,1998,60002441,usa,230,92,0.4,1998,1998,usa,1,3,2,1996,60002441,0,1,0,0,0,60002441
1998,1998,1998,60002494,can,122,81,0.664,1998,1998,can,2,5,3,1996,60002494,0,1,0,0,0,60002494
1998,1996,1996,60002746,usa,1058,458,0.433,1998,1996,usa,3,6,2,1996,60002746,0.5,1,0.1,0,0.4,60002746
1998,2003,2003,60002860,usa,13,5,0.385,1998,2003,usa,1,4,2,1998,60002860,0,0,0,0,0,60002860
1998,1998,1998,60003122,can,31,19,0.613,1998,1998,can,1,1,1,1996,60003122,0,1,0,0,0,60003122
1998,1998,1998,60003269,usa,129,54,0.419,1998,1998,usa,4,6,4,1997,60003269,0.333333333,1,0.17,0,0.17,60003269
1998,2000,2000,60003500,usa,138,34,0.246,1998,2000,usa,1,2,1,1998,60003500,0,0,0,0,0,60003500
1998,1998,1998,60003526,usa,7,3,0.429,1998,1998,usa,3,3,1,1997,60003526,0,1,0,0,0,60003526
1998,2000,2000,60003625,usa,79,22,0.278,1998,2000,usa,1,2,1,1998,60003625,0,0,0,0,0,60003625
1998,1998,1998,60003711,usa,198,68,0.343,1998,1998,usa,1,1,1,1997,60003711,0.75,1,0.25,0,0.5,60003711
1998,1998,1998,60003915,usa,216,61,0.282,1998,1998,usa,1,2,2,1996,60003915,0,1,0,0,0,60003915
1998,1998,1998,60005200,usa,311,83,0.267,1998,1998,usa,1,1,1,1997,60005200,1,1,0,0,1,60005200
1998,1997,1997,60005837,usa,57,20,0.351,1998,1997,usa,3,5,2,1996,60005837,0,1,0,0,0,60005837
1998,2003,2003,60005856,usa,14,4,0.286,1998,2003,usa,1,1,1,1998,60005856,0,0,0,0,0,60005856
1998,1999,1999,60006281,usa,3,2,0.667,1998,1999,usa,1,1,1,1998,60006281,0,0,0,0,0,60006281
1998,1996,1996,60006297,usa,385,137,0.356,1998,1996,usa,4,8,5,1996,60006297,0.666666667,1,0,0.22,0.44,60006297
1998,1998,1998,60006385,usa,108,40,0.37,1998,1998,usa,2,2,1,1997,60006385,0,1,0,0,0,60006385
1998,1999,1999,60006577,usa,110,54,0.491,1998,1999,usa,2,6,2,1998,60006577,0,0,0,0,0,60006577
1998,1998,1998,60007278,usa,94,35,0.372,1998,1998,usa,1,4,2,1997,60007278,1,1,1,0,0,60007278
1998,2000,2000,60007651,usa,72,25,0.347,1998,2000,usa,1,1,1,1998,60007651,0,0,0,0,0,60007651
1998,1998,1998,60007776,usa,109,37,0.339,1998,1998,usa,2,2,1,1997,60007776,0.833333333,1,0.17,0,0.67,60007776
1998,2005,2005,60008130,usa,58,24,0.414,1998,2005,usa,1,3,2,1998,60008130,0,0,0,0,0,60008130
1998,1998,1998,60008772,usa,29,6,0.207,1998,1998,usa,1,1,1,1997,60008772,0,1,0,0,0,60008772
1998,1998,1998,60009470,usa,420,177,0.421,1998,1998,usa,4,9,2,1997,60009470,1,1,0,0,1,60009470
1998,1996,1996,60009982,usa,297,110,0.37,1998,1996,usa,3,5,2,1996,60009982,0.4,1,0.2,0,0.2,60009982
1998,1998,1998,60011754,usa,72,35,0.486,1998,1998,usa,1,1,1,1997,60011754,0,1,0,0,0,60011754
1998,1996,1996,60012317,usa,345,103,0.299,1998,1996,usa,15,29,7,1996,60012317,0.75,1,0.13,0.13,0.5,60012317
1998,1999,1999,60012553,usa,130,34,0.262,1998,1999,usa,1,4,3,1998,60012553,0,0,0,0,0,60012553
1998,1998,1998,60012981,usa,194,102,0.526,1998,1998,usa,1,2,2,1997,60012981,0.5,1,0.5,0,0,60012981
1998,2009,2009,60013234,usa,4,2,0.5,1998,2009,usa,1,2,2,1998,60013234,0,0,0,0,0,60013234
1998,1998,1998,60013340,usa,12,1,0.083,1998,1998,usa,1,1,1,1996,60013340,0,1,0,0,0,60013340
1998,1998,1998,60013780,usa,45,16,0.356,1998,1998,usa,1,1,1,1997,60013780,0,1,0,0,0,60013780
1998,2009,2009,60013871,usa,42,16,0.381,1998,2009,usa,1,2,2,1998,60013871,0,0,0,0,0,60013871
1998,1998,1998,60014232,usa,75,32,0.427,1998,1998,usa,3,5,1,1997,60014232,0,1,0,0,0,60014232
1998,1999,1999,60014334,usa,201,97,0.483,1998,1999,usa,2,7,2,1998,60014334,0,0,0,0,0,60014334
1998,1998,1998,60014611,usa,22,1,0.045,1998,1998,usa,1,2,1,1996,60014611,0,1,0,0,0,60014611
1998,1997,1997,60015481,usa,487,137,0.281,1998,1997,usa,3,3,1,1996,60015481,1,1,0,0,1,60015481
1998,1997,1997,60016005,can,46,23,0.5,1998,1997,can,1,1,1,1996,60016005,0,1,0,0,0,60016005
1998,1998,1998,60016782,usa,343,163,0.475,1998,1998,usa,3,11,3,1996,60016782,0,1,0,0,0,60016782
1998,1997,1997,60016849,can,365,188,0.515,1998,1997,can,1,2,2,1996,60016849,0.75,1,0.25,0,0.5,60016849
1998,1997,1997,60017777,usa,243,97,0.399,1998,1997,usa,7,11,5,1996,60017777,0.333333333,1,0,0,0.33,60017777
1998,1998,1998,60019356,usa,69,24,0.348,1998,1998,usa,1,3,1,1996,60019356,0,1,0,0,0,60019356
1998,2003,2003,60020633,usa,29,7,0.241,1998,2003,usa,1,2,1,1998,60020633,0,0,0,0,0,60020633
1998,1998,1998,60021568,usa,37,7,0.189,1998,1998,usa,1,3,1,1997,60021568,0,1,0,0,0,60021568
1998,1997,1997,60021918,usa,87,30,0.345,1998,1997,usa,2,2,1,1996,60021918,0,1,0,0,0,60021918
1998,1997,1997,60022195,usa,291,134,0.46,1998,1997,usa,3,7,3,1996,60022195,0.625,1,0.13,0.25,0.25,60022195
1998,1997,1997,60022756,usa,240,69,0.288,1998,1997,usa,1,5,2,1996,60022756,0,1,0,0,0,60022756
1998,2001,2001,60023187,usa,11,5,0.455,1998,2001,usa,1,2,2,1998,60023187,0,0,0,0,0,60023187
1998,2000,2000,60023222,usa,94,33,0.351,1998,2000,usa,2,2,1,1998,60023222,0,0,0,0,0,60023222
1998,1996,1996,60023691,usa,531,207,0.39,1998,1996,usa,4,4,3,1996,60023691,0.5,1,0,0,0.5,60023691
1998,1998,1998,60024399,usa,103,37,0.359,1998,1998,usa,2,3,1,1997,60024399,0,1,0,0,0,60024399
1998,1999,1999,60024541,usa,141,53,0.376,1998,1999,usa,1,4,2,1998,60024541,0,0,0,0,0,60024541
1998,1998,1998,60024609,usa,43,8,0.186,1998,1998,usa,1,2,1,1997,60024609,0.571428571,1,0,0,0.57,60024609
1998,1998,1998,60024613,usa,79,18,0.228,1998,1998,usa,2,3,3,1997,60024613,1,1,0,0,1,60024613
1998,1997,1997,60025038,usa,187,68,0.364,1998,1997,usa,2,3,2,1996,60025038,0.75,1,0.5,0,0.25,60025038
1998,1998,1998,60025553,usa,34,9,0.265,1998,1998,usa,1,3,2,1996,60025553,0,1,0,0,0,60025553
1998,1997,1997,60025778,usa,330,106,0.321,1998,1997,usa,4,4,2,1996,60025778,0.666666667,1,0,0,0.67,60025778
1998,1997,1997,60026415,usa,119,25,0.21,1998,1997,usa,4,4,2,1996,60026415,1,1,0,0,1,60026415
1998,1999,1999,60026827,usa,138,58,0.42,1998,1999,usa,4,8,3,1998,60026827,0,0,0,0,0,60026827
1998,1999,1999,60027016,can,34,19,0.559,1998,1999,can,1,2,1,1998,60027016,0,0,0,0,0,60027016
1998,1999,1999,60027165,usa,12,7,0.583,1998,1999,usa,1,1,1,1998,60027165,0,0,0,0,0,60027165
1998,1999,1999,60027550,usa,407,171,0.42,1998,1999,usa,1,1,1,1998,60027550,0,0,0,0,0,60027550
1998,2001,2001,60027561,usa,39,17,0.436,1998,2001,usa,1,1,1,1998,60027561,0,0,0,0,0,60027561
1998,1998,1998,60028548,usa,148,53,0.358,1998,1998,usa,1,1,1,1997,60028548,0,1,0,0,0,60028548
1998,1998,1998,60028628,usa,64,22,0.344,1998,1998,usa,1,6,2,1997,60028628,1,1,0,0,1,60028628
1998,1997,1997,60028897,can,188,82,0.436,1998,1997,can,4,8,6,1996,60028897,0.8,1,0,0.6,0.2,60028897
1998,2005,2005,60029230,usa,5,2,0.4,1998,2005,usa,1,1,1,1998,60029230,0,0,0,0,0,60029230
1998,1998,1998,60029241,usa,33,17,0.515,1998,1998,usa,1,2,1,1996,60029241,0,1,0,0,0,60029241
1998,1997,1997,60029251,usa,69,19,0.275,1998,1997,usa,1,1,1,1996,60029251,0.666666667,1,0.33,0,0.33,60029251
1998,1998,1998,60029278,usa,180,56,0.311,1998,1998,usa,2,2,2,1997,60029278,0,1,0,0,0,60029278
1998,1998,1998,60029418,usa,10,4,0.4,1998,1998,usa,1,1,1,1996,60029418,0,1,0,0,0,60029418
1998,1997,1997,60029445,usa,267,81,0.303,1998,1997,usa,1,1,1,1996,60029445,0.5,1,0.5,0,0,60029445
1998,1996,1996,60029929,usa,654,262,0.401,1998,1996,usa,8,21,5,1996,60029929,0.7,1,0.1,0,0.6,60029929
1998,1998,1998,60030112,usa,11,1,0.091,1998,1998,usa,1,2,1,1997,60030112,0.5,1,0,0,0.5,60030112
1998,1997,1997,60030319,can,153,84,0.549,1998,1997,can,1,2,2,1996,60030319,0.666666667,1,0.33,0,0.33,60030319
1998,1997,1997,60030521,usa,678,252,0.372,1998,1997,usa,6,17,4,1996,60030521,1,1,1,0,0,60030521
1998,1996,1996,60030612,usa,343,165,0.481,1998,1996,usa,2,4,2,1996,60030612,1,1,0,0,1,60030612
1998,1998,1998,60030835,can,209,82,0.392,1998,1998,can,1,1,1,1997,60030835,0.25,1,0.25,0,0,60030835
1998,1997,1997,60031581,usa,159,59,0.371,1998,1997,usa,2,4,2,1996,60031581,0,1,0,0,0,60031581
1998,1997,1997,60032105,usa,47,17,0.362,1998,1997,usa,2,9,3,1996,60032105,0.833333333,1,0.33,0,0.5,60032105
