"","toa","thr","diffnet_new$toa"
"100899603","Non-Adopters","Non-Adopters",NA
"100905671","Non-Adopters","Non-Adopters",NA
"100909520","Non-Adopters","Non-Adopters",NA
"100910031","Non-Adopters","Non-Adopters",NA
"100916645","Non-Adopters","Non-Adopters",NA
"100918540","Non-Adopters","Non-Adopters",NA
"100933831","Non-Adopters","Non-Adopters",NA
"100937977","Non-Adopters","Non-Adopters",NA
"100941282","Non-Adopters","Non-Adopters",NA
"100945241","Non-Adopters","Non-Adopters",NA
"100947708","Non-Adopters","Non-Adopters",NA
"100948646","Early Adopters","Low Thresh.",2004
"100948790","Non-Adopters","Non-Adopters",NA
"100951632","Non-Adopters","Non-Adopters",NA
"100951806","Non-Adopters","Non-Adopters",NA
"100952966","Non-Adopters","Non-Adopters",NA
"100955677","Non-Adopters","Non-Adopters",NA
"100956572","Non-Adopters","Non-Adopters",NA
"100967658","Non-Adopters","Non-Adopters",NA
"100972440","Non-Adopters","Non-Adopters",NA
"100990729","Non-Adopters","Non-Adopters",NA
"100996117","Non-Adopters","Non-Adopters",NA
"101003987","Non-Adopters","Non-Adopters",NA
"101004518","Non-Adopters","Non-Adopters",NA
"101006851","Non-Adopters","Non-Adopters",NA
"101007847","Early Majority","High Thresh.",2010
"101013400","Non-Adopters","Non-Adopters",NA
"101014191","Non-Adopters","Non-Adopters",NA
"101026340","Non-Adopters","Non-Adopters",NA
"101036020","Non-Adopters","Non-Adopters",NA
